longitude,latitude,avgT,stdT,avgA,stdA,avgB,stdB,avgC,stdC,avgT,stdT,avgX,stdX,avgY,stdY,avgZ,stdZ
-84.4213867188,113.908691406,49618.3,0.640312423743,332.1,3.75366487582,410.5,10.5569882069,493.4,2.24499443206,36213.5,18754.789283,564.2,7.71751255263,732.5,5.8864250611,508.0,10.5735519103
-84.4213867188,121.232910156,49605.2,0.748331477355,332.1,5.02891638427,399.5,23.1484340723,494.7,4.73392015142,32733.4,18864.1634864,561.6,9.52050418833,731.7,3.71618083521,506.2,14.6819617218
-84.4213867188,128.59375,49592.3,0.640312423743,332.6,4.73708771293,406.6,19.6377188085,494.5,4.43283205186,30058.5,18704.8431656,559.8,8.96437393241,734.3,2.14709105536,503.5,9.34077084613
-84.4213867188,135.905761719,49579.6,0.663324958071,331.6,8.23650411279,410.3,16.3710109645,496.0,5.19615242271,34684.6,19643.5434288,556.2,12.367699867,735.2,11.7796434581,499.7,17.1350517945
-84.4213867188,143.264160156,49566.7,0.640312423743,333.2,7.1526218969,388.9,32.9740807302,494.6,4.36348484585,33440.6,17885.6134376,549.7,10.8908218239,730.0,7.69415362467,504.6,21.3691366227
-84.4213867188,150.625,49553.0,0.774596669241,332.2,9.05317623821,411.4,19.8353220291,494.2,3.94461658466,33484.5,18625.614359,548.9,18.1518594089,735.5,4.41021541424,493.8,21.507208094
-84.4213867188,157.94921875,49539.2,0.748331477355,332.6,5.98665181884,411.6,12.5713961039,493.1,2.62488094968,34126.7,18913.0554277,545.2,9.24986486388,731.8,6.76461381012,493.7,14.4364122967
-84.4213867188,165.300292969,49525.7,0.640312423743,333.5,3.32415402772,414.1,4.5265881191,494.7,4.71274866718,28957.1,18739.069467,542.1,5.66480361531,732.5,4.03112887415,491.4,8.21218606706
-84.4213867188,172.663574219,49511.9,0.7,332.0,3.82099463491,415.5,3.41320963318,493.6,3.74699879904,29297.3,18171.4014872,536.5,2.5,736.0,2.36643191324,487.4,8.90168523371
-84.4213867188,179.9609375,49497.0,0.774596669241,330.8,6.95413546029,414.6,8.34505841801,494.0,4.44971909226,32518.3,18628.6730931,531.8,11.0072703247,735.8,5.94642749893,489.2,18.5623274403
-78.8012695312,-180.002441406,50169.2,0.748331477355,332.0,6.40312423743,415.6,13.6908728721,493.2,3.28024389337,38797.8,16117.3569657,532.0,14.6628782986,728.0,2.72029410175,464.3,18.0002777756
-78.8012695312,-172.670898438,50181.9,0.7,331.5,4.73814309619,430.1,22.5230992539,493.8,3.62767142944,29819.5,18087.6385814,530.7,10.9366356801,728.3,4.71274866718,461.0,15.6332977967
-78.8012695312,-165.310058594,50195.2,0.748331477355,331.8,3.89358446679,419.0,7.44311762637,493.5,3.1064449134,34127.7,18827.1236892,521.7,4.53982378513,730.6,3.58329457343,464.9,6.68505796534
-78.8012695312,-157.961425781,50207.1,0.7,331.7,6.8124885321,431.5,21.7451143938,494.2,3.99499687109,32873.9,18181.4642009,515.1,8.6884981441,730.7,5.56866231693,464.5,18.3207532596
-78.8012695312,-150.598144531,50222.2,0.748331477355,332.1,9.20271699011,422.4,16.4389780704,494.6,3.97994974843,37044.3,18149.9616972,507.6,5.51724568965,730.6,5.95315042645,473.9,19.917078099
-78.8012695312,-143.26171875,50236.7,0.640312423743,330.1,14.1028365941,419.9,20.0372153754,492.3,1.67630546142,33566.7,17840.6100571,503.2,8.55336191214,731.1,8.11726554943,469.3,28.7020905162
-78.8012695312,-135.925292969,50250.4,0.663324958071,331.7,5.19711458407,429.1,19.2325245353,494.4,4.2,38060.1,18706.3905468,498.2,9.76524449259,729.2,4.1665333312,479.0,14.0854534893
-78.8012695312,-128.586425781,50265.3,0.640312423743,332.4,5.29528091795,418.8,8.42377587546,493.0,2.19089023002,34820.2,18824.0735326,491.0,5.63914887195,729.8,2.6,487.3,10.1493842178
-78.8012695312,-121.218261719,50277.6,0.663324958071,332.7,2.32594066992,432.3,24.6740754639,492.6,1.56204993518,35227.8,19840.0562187,485.6,11.5689238912,730.4,4.07921561087,491.3,11.5156415366
-78.8012695312,-113.857421875,50289.7,0.640312423743,332.5,3.64005494464,430.5,20.2101459668,494.5,4.15331193146,28201.1,18752.5805715,484.2,7.46726188104,729.8,4.28485705713,497.4,9.76933979346
-78.8012695312,-106.513671875,50304.7,0.640312423743,333.2,1.16619037897,417.1,7.56901578807,495.1,4.34626276242,32346.1,18739.5202631,479.6,5.02394267483,728.7,2.64764045897,506.4,4.52106182218
-78.8012695312,-99.189453125,50317.9,0.7,332.4,2.28910462845,425.8,16.8570460046,493.5,3.8275318418,29396.1,18167.1238695,476.1,8.16639455329,727.2,3.6551333765,515.7,7.38985791474
-78.8012695312,-91.8334960938,50331.9,0.7,332.0,1.54919333848,417.2,9.66229786334,492.9,2.25610283454,26688.0,18478.7906964,478.6,8.55803715813,730.0,2.40831891576,521.3,6.95772951472
-78.8012695312,-84.5068359375,50345.9,0.7,332.4,1.8547236991,419.7,10.3831594421,494.2,4.5782092569,29733.3,18171.3847356,479.2,6.77938050267,729.2,3.09192496675,529.3,6.22976725087
-78.8012695312,-77.1630859375,50358.1,0.7,332.4,3.23109888428,428.7,22.0909483726,494.1,4.22965719651,36582.1,18154.0929735,481.1,6.28410693735,728.9,2.5079872408,535.2,7.99749960925
-78.8012695312,-69.7802734375,50372.5,0.80622577483,332.1,3.08058436015,417.8,15.6575860208,493.2,2.35796522451,38372.7,17615.3538372,479.1,9.8534258002,729.7,4.07553677446,544.2,7.50732975165
-78.8012695312,-62.4633789062,50386.1,0.7,332.6,1.8,417.8,6.67532770731,494.7,4.56179789118,36951.3,18152.2224427,485.0,5.34789678285,732.2,1.98997487421,550.1,4.32319326424
-78.8012695312,-55.0854492188,50399.8,0.748331477355,332.4,3.66606055596,424.6,17.089177862,494.0,4.14728827067,35607.4,18618.6867432,488.9,11.5797236582,730.0,5.25357021463,557.5,8.64002314812
-78.8012695312,-47.7294921875,50413.6,0.663324958071,332.5,8.75499857224,422.6,21.1054495332,493.0,1.8973665961,34935.7,19731.0084692,493.3,18.8151534674,728.5,7.86447709641,563.0,17.7369670463
-78.8012695312,-40.41015625,50428.9,0.7,332.7,4.19642705167,427.0,18.3084679862,493.3,2.7946377225,33335.0,18854.4089114,499.6,9.77957054272,731.8,4.72863616701,567.3,9.76780425684
-78.8012695312,-33.0493164062,50441.8,1.24899959968,331.8,4.81248376621,426.7,16.3832231261,494.8,4.6432747065,35233.7,19842.1045862,504.6,8.45221864365,731.4,5.90254182535,571.0,8.2340755401
-78.8012695312,-25.68359375,50456.2,0.748331477355,332.3,4.26731765867,427.8,19.7322071751,493.7,3.74299345444,37919.3,18128.6505071,512.9,6.92026011072,728.9,5.08822169328,576.7,10.1
-78.8012695312,-18.3984375,50470.0,0.774596669241,332.1,3.80657326213,417.2,8.24378553821,493.2,1.93907194297,37426.4,18133.5462125,518.2,5.91269819964,729.8,4.83321838944,579.0,5.44058820349
-78.8012695312,-11.0278320312,50482.5,0.5,332.5,3.55668384876,421.1,12.6447617613,492.7,2.2825424421,32114.5,19757.8880311,527.2,8.50646812725,727.6,4.0049968789,580.3,7.11407056473
-78.8012695312,-3.701171875,50495.2,0.748331477355,332.4,3.41174442185,418.2,7.34574706888,493.3,2.23830292856,34088.5,18906.3542295,532.9,6.1554853586,728.9,3.1448370387,582.8,8.18290901819
-78.8012695312,3.67431640625,50508.3,0.640312423743,332.6,3.58329457343,423.0,16.9115345253,493.1,2.25610283454,36208.9,17503.7618611,542.7,6.35688603013,728.3,3.34813380856,579.3,7.25327512232
-78.8012695312,11.0034179688,50520.7,0.640312423743,332.2,5.96322060635,443.2,35.2584741587,492.7,1.61554944214,31461.8,18749.5475881,550.8,5.11468474102,727.3,2.72213151776,576.3,7.96303962065
-78.8012695312,18.3837890625,50533.4,0.663324958071,332.2,10.4575331699,434.4,25.0407667614,492.7,2.60959767014,33387.9,19784.1978379,555.6,11.4734476074,728.2,9.37869927015,573.2,14.5862949374
-78.8012695312,25.6884765625,50545.9,0.7,332.7,2.9,425.4,14.4927568116,492.6,1.8,34577.0,18091.2415329,563.0,6.0497933849,728.3,4.7759815745,573.7,4.38292140016
