longitude; latitude; x; y; z;
-66.041667; -68.877551; 583.187500; 123.656250; 397.750000;
-66.041667; -63.367347; 589.085714; 142.741935; 387.352941;
-66.041667; -57.857143; 588.818182; 188.257143; 385.062500;
-66.041667; -52.346939; 586.312500; 286.090909; 378.800000;
-66.041667; -46.836735; 587.500000; 440.714286; 374.878788;
-66.041667; -41.326531; 590.297297; 433.833333; 368.878788;
-66.041667; -35.816327; 584.193548; 430.117647; 362.685714;
-66.041667; -30.306122; 585.290323; 428.800000; 359.676471;
-66.041667; -24.795918; 591.500000; 428.272727; 354.806452;
-66.041667; -19.285714; 585.032258; 386.937500; 352.432432;
-66.041667; -13.775510; 577.696970; 341.800000; 348.343750;
-66.041667; -8.265306; 576.542857; 334.566667; 353.685714;
-66.041667; -2.755102; 575.866667; 324.400000; 363.257143;
-66.041667; 2.755102; 580.307692; 322.625000; 367.068966;
-66.041667; 8.265306; 578.205882; 324.290323; 373.857143;
-66.041667; 13.775510; 576.970588; 325.000000; 379.466667;
-66.041667; 19.285714; 576.171429; 319.774194; 385.470588;
-66.041667; 24.795918; 577.342857; 322.687500; 392.181818;
-66.041667; 30.306122; 575.633333; 128.837838; 396.333333;
-66.041667; 35.816327; 575.256410; 123.100000; 401.548387;
-66.041667; 41.326531; 579.628571; 131.656250; 411.121212;
-66.041667; 46.836735; 578.724138; 110.638889; 412.885714;
-66.041667; 52.346939; 578.000000; 124.285714; 420.454545;
-66.041667; 57.857143; 577.705882; 124.514286; 423.580645;
-66.041667; 63.367347; 574.114286; 128.275862; 431.500000;
-66.041667; 68.877551; 577.093750; 118.411765; 437.735294;
-66.041667; 74.387755; 577.718750; 116.181818; 439.285714;
-66.041667; 79.897959; 577.971429; 124.942857; 443.666667;
-66.041667; 85.408163; 578.571429; 121.466667; 447.171429;
-66.041667; 90.918367; 576.742857; 133.312500; 449.575758;
-66.041667; 96.428571; 577.939394; 117.264706; 453.515152;
-66.041667; 101.938776; 577.275862; 124.088235; 457.459459;
-66.041667; 107.448980; 578.147059; 126.028571; 452.516129;
-66.041667; 112.959184; 581.117647; 123.066667; 456.138889;
-66.041667; 118.469388; 576.242424; 124.485714; 456.062500;
-66.041667; 123.979592; 577.806452; 123.485714; 455.852941;
-66.041667; 129.489796; 580.885714; 134.882353; 457.161290;
-66.041667; 135.000000; 579.800000; 130.281250; 455.818182;
-61.250000; -135.000000; 581.411765; 126.823529; 449.656250;
-61.250000; -129.489796; 581.062500; 131.333333; 452.800000;
-61.250000; -123.979592; 580.264706; 327.194444; 447.933333;
-61.250000; -118.469388; 578.600000; 426.151515; 441.875000;
-61.250000; -112.959184; 581.200000; 432.117647; 439.750000;
-61.250000; -107.448980; 580.166667; 438.090909; 434.709677;
-61.250000; -101.938776; 581.125000; 441.542857; 431.848485;
-61.250000; -96.428571; 582.878788; 437.514286; 422.500000;
-61.250000; -90.918367; 582.914286; 440.030303; 419.593750;
-61.250000; -85.408163; 581.806452; 446.696970; 410.972222;
-61.250000; -79.897959; 582.121212; 303.787879; 404.764706;
-61.250000; -74.387755; 580.628571; 130.771429; 399.800000;
-61.250000; -68.877551; 582.300000; 131.857143; 395.428571;
-61.250000; -63.367347; 584.600000; 130.466667; 391.400000;
-61.250000; -57.857143; 581.451613; 126.000000; 376.571429;
-61.250000; -52.346939; 583.322581; 115.878788; 377.472222;
-61.250000; -46.836735; 583.636364; 284.171429; 365.406250;
-61.250000; -41.326531; 583.810811; 450.700000; 363.666667;
-61.250000; -35.816327; 586.514286; 446.166667; 361.000000;
-61.250000; -30.306122; 584.625000; 437.972222; 352.593750;
-61.250000; -24.795918; 583.857143; 439.281250; 347.515152;
-61.250000; -19.285714; 579.290323; 384.142857; 345.441176;
-61.250000; -13.775510; 571.647059; 326.433333; 339.194444;
-61.250000; -8.265306; 572.393939; 327.000000; 346.606061;
-61.250000; -2.755102; 571.842105; 313.833333; 354.718750;
-61.250000; 2.755102; 573.766667; 313.600000; 357.714286;
-61.250000; 8.265306; 571.918919; 310.333333; 364.300000;
-61.250000; 13.775510; 573.272727; 313.031250; 373.885714;
-61.250000; 19.285714; 572.062500; 309.117647; 376.294118;
-61.250000; 24.795918; 572.057143; 303.571429; 385.000000;
-61.250000; 30.306122; 571.212121; 304.566667; 394.891892;
-61.250000; 35.816327; 571.781250; 224.393939; 402.228571;
-61.250000; 41.326531; 571.441176; 123.514286; 409.967742;
-61.250000; 46.836735; 570.971429; 125.290323; 415.705882;
-61.250000; 52.346939; 570.181818; 110.750000; 423.600000;
-61.250000; 57.857143; 569.787879; 123.914286; 431.562500;
-61.250000; 63.367347; 572.533333; 122.000000; 437.371429;
-61.250000; 68.877551; 567.666667; 125.382353; 445.666667;
-61.250000; 74.387755; 570.457143; 132.500000; 448.057143;
-61.250000; 79.897959; 568.942857; 107.387097; 452.352941;
-61.250000; 85.408163; 569.656250; 124.500000; 458.500000;
-61.250000; 90.918367; 571.387097; 121.285714; 464.264706;
-61.250000; 96.428571; 570.617647; 129.000000; 468.575758;
-61.250000; 101.938776; 570.971429; 122.028571; 469.933333;
-61.250000; 107.448980; 572.366667; 120.558824; 469.888889;
-61.250000; 112.959184; 573.000000; 114.424242; 470.272727;
-61.250000; 118.469388; 572.428571; 130.935484; 473.382353;
